city,lon,lat
Eagar AZ,-109.291475,34.1111581
Avondale AZ,-112.3405021,33.4359175
Muncie IN,-85.3865114,40.1936683
Terre Haute IN,-87.4139119,39.4667025
Houma LA,-90.7195348,29.5957696
St. Augustine FL,-81.3145395,29.8946952
Lincoln NE,-96.667821,40.8
Citrus Heights CA,-121.2810611,38.7071247
Midland TX,-102.0779482,31.9973662
Beaverton OR,-122.8037804,45.4871723
Marietta GA,-84.5496148,33.9528472
Kent WA,-122.2270272,47.3826903
Knoxville TN,-83.9210261,35.9603948
North Las Vegas NV,-115.1120958,36.2008371
Portsmouth VA,-76.2982742,36.8354258
Brooksville FL,-82.3878709,28.5552719
Santa Maria CA,-120.4358577,34.9531295
Redding CA,-122.3916754,40.5863563
Longview TX,-94.7404891,32.5007038
Sugar Creek MO,-90.4235119,38.580438
Gastonia NC,-81.1873005,35.262082
Columbia MO,-92.3337366,38.951883
Roswell NM,-104.5229518,33.3943282
Hobbs NM,-103.1360403,32.7026116
Mobile AL,-84.853229,39.092585
Kirkland WA,-122.1920249,47.6859573
Topeka KS,-95.677556,39.049011
Farmington NM,-108.2089191,36.7304288
Columbus MS,-89.01965323,43.33687565
St. Petersburg FL,-82.6469934,27.77330515
Rossville GA,-85.2861011,34.9831584
Odessa TX,-102.367687,31.8457149
Indio CA,-116.2188054,33.7192808
Santa Fe NM,-105.9377997,35.6869996
Torrance CA,-118.3406288,33.8358492
Palmdale CA,-118.1171108,34.5793131
Vallejo CA,-122.2566367,38.1040864
Sparks NV,-119.7527683,39.5348431
Azusa CA,-117.9056046,34.1338751
Hallandale Beach FL,-80.13999671,25.9856006
Brownsville TX,-97.4890856,25.9140256
Dayton OH,-84.1916069,39.7589478
Elizabethtown KY,-85.8591285,37.693952
Yuma AZ,-114.624397,32.7253249
Medford OR,-122.8718605,42.3264181
Morgantown WV,-79.9559437,39.6296809
Napa CA,-122.2855293,38.2971367
Des Moines IA,-93.6037149,41.5910641
Kansas City KS,-94.5630298,39.0844687
Homestead FL,-80.4759905,25.4718946
Charleston WV,-81.6332812,38.3505995
Conroe TX,-95.4560512,30.3118769
Chickasha OK,-97.9364326,35.052565
Chester PA,-75.3557458,39.849557
Bend OR,-121.3153096,44.0581728
Honolulu HI,-157.8466442,21.3250785
Palm Bay FL,-80.6429695,28.0331886
Visalia CA,-119.2920585,36.3302284
Cathedral City CA,-116.4640765,33.7810031
El Cajon CA,-116.9625269,32.7947731
Ellis County TX,-96.7920233,32.3347829
Hayward CA,-122.0807964,37.6688205
Huntersville NC,-80.8429094,35.410845
Kettering OH,-84.1688274,39.6895036
Kent OH,-81.357886,41.1536674
Guthrie OK,-97.4252772,35.8789231
Hamilton OH,-84.5613428,39.3995067
Point Loma CA,-117.2402914,32.7279696
Boone IA,-93.8802273,42.0597047
Carson City NV,-119.7743609,39.18844485
Miami Gardens FL,-80.23975281,25.94207545
Inglewood CA,-118.3550377,33.96185
Beaumont CA,-116.977248,33.9294606
Yuba City CA,-121.6169108,39.1404477
Austell GA,-84.6343783,33.8126059
Largo FL,-82.7873244,27.9094665
Lake Wales FL,-81.5859099,27.9014133
Ocala FL,-82.1352047,29.1924213
Olathe KS,-94.81887,38.8838856
Kentwood MI,-85.6447492,42.8694731
Desert Hot Springs CA,-116.5016784,33.961124
Mountain Home ID,-115.6911975,43.1329504
Belton MO,-94.5313368,38.8108243
Bexar County TX,-98.5104781,29.4263987
Pearland TX,-95.2864299,29.5639758
Lake Elsinore CA,-117.3272615,33.6680772
Douglas WY,-117.5966053,33.8499139
Madison WI,-89.3837613,43.074761
Arlington VA,-77.0841585,38.8903961
Parma OH,-81.7355692,41.3822398
Hattiesburg MS,-89.2903392,31.3271189
Riverview FL,-82.3269883,27.871197
Parker CO,-97.7935767,32.7599475
Carrollton GA,-85.0766113,33.5801103
Queens NY,-73.79142142,40.6524927
Colorado City CO,-104.8516725,37.9416405
Apache Junction AZ,-111.5495439,33.4150484
Sand City CA,-121.8482855,36.6171819
Allentown PA,-75.4712794,40.6022059
Gary IN,-82.107662,31.470271
Burlington VT,-73.2114941,44.4723989
Tulare CA,-118.852583,36.2516475
Salem OR,-123.033121,44.9391565
Fayetteville AR,-81.1003578,38.0938768
Kokomo IN,-86.1336351,40.4864444
Los Lunas NM,-106.7372551,34.7994296
Burien WA,-122.3485274,47.469918
Winn Parish LA,-92.6401816,31.947293
Rockford IL,-89.093966,42.2713945
Temple TX,-97.3427847,31.098207
Pulaski VA,-80.7797935,37.0478983
Olivehurst CA,-121.5521858,39.0954484
Metropolis IL,-88.7319979,37.1511655
Gainesville FL,-82.3233746,29.67357765
Idaho Falls ID,-112.0400919,43.4935245
New Castle IN,-85.3702477,39.9289351
Metairie LA,-90.17671492,30.001852
Greece NY,-77.6930602,43.2097838
Orange CA,-117.8704931,33.7500378
London KY,-84.0832646,37.1289771
Taylors SC,-82.2962269,34.9203946
Federal Way WA,-122.3393103,47.313494
Henderson NV,-114.9819235,36.0391456
Stockbridge GA,-84.2338093,33.5442781
Schertz TX,-98.2695702,29.5641617
Abilene TX,-99.7333011,32.4466741
Thornton CO,-104.984719,39.8689991
San Fernando CA,-118.4389719,34.2819461
Manchester NJ,-76.7211368,40.0588102
Shelbyville IN,-85.7769238,39.5214373
Trinidad CO,-104.5005411,37.169397
Evans CO,-81.8980725,32.1613648
Fair Oaks CA,-123.3413984,39.3784978
Chesapeake VA,-76.2466798,36.7183708
Lodi CA,-121.3878496,38.097198
Cape Coral FL,-81.9806771,26.6059432
Marana AZ,-111.2157091,32.4446988
Beaumont TX,-94.1018461,30.0860459
Plano TX,-96.6925096,33.0136764
Madison Township OH,-82.88318985,39.7693805
Round Rock TX,-97.6788934,30.508235
Sallisaw OK,-94.7874463,35.4603711
Lakewood CO,-105.1100582,39.6311085
Hollywood Hills CA,-118.3355474,34.1311792
Kennewick WA,-119.1204003,46.2089739
Pomona CA,-117.7517496,34.0553813
Cocoa FL,-80.7419984,28.3861159
Sylmar CA,-118.4492148,34.3076252
Lancaster PA,-76.3056686,40.03813
Wauwatosa WI,-88.0079271,43.0494122
Gresham OR,-122.4367058,45.5067406
Pleasanton CA,-121.8746789,37.6624312
Vassalboro ME,-69.6778992,44.4595251
Santa Clara CA,-121.9551744,37.3541132
Royal Oak MI,-83.1446485,42.4894801
Lompoc CA,-120.4579409,34.6391501
Lenoir City TN,-84.2560299,35.7972998
Casa Grande AZ,-111.7575614,32.8793816
New Iberia LA,-91.79280466,30.000524
Landover MD,-76.8966397,38.9340002
Randallstown MD,-76.79595964,39.36909865
Tupelo MS,-88.7033859,34.2576067
Ogden UT,-111.9738429,41.2230048
Toledo OH,-83.5127283,41.6786754
Roanoke VA,-79.96020968,37.274532
Kelso WA,-122.9060318,46.1420334
Crandon WI,-88.902892,45.571907
El Monte CA,-122.0688744,36.969454
Cedar Rapids IA,-91.6704053,41.9758872
Artesia NM,-104.4032963,32.8423345
Chandler AZ,-111.8408489,33.3067132
Gardena CA,-118.307648,33.888658
Danville VA,-79.3950228,36.5859718
Aloha OR,-122.8670451,45.4942838
Euless TX,-97.06673629,32.8465405
Clanton AL,-86.6294262,32.8387371
Elk Grove CA,-121.3716178,38.4087993
Salisbury NC,24.776729,-28.7464779
Hackensack NJ,-74.0434736,40.8859326
Allen TX,-96.6705503,33.1031744
Hickory NC,-79.512697,36.105813
Atlantic City NJ,-74.4229351,39.3642852
Dunsmuir CA,-122.271953,41.208209
Quartzsite AZ,-114.2299486,33.6639137
Hillsboro OR,-122.989827,45.5228939
Presque Isle ME,-68.016357,46.681479
Alton IL,-90.1842764,38.8906038
Blue Springs MO,-94.282265,39.017316
Piedmont AL,-81.427055,27.382951
Riverside CA,-117.3961623,33.9533546
Newark CA,-122.0402399,37.5296593
Piedmont SC,-122.6694049,45.5745523
Newport News VA,-76.4321089,36.9786449
Prescott AZ,-112.469518,34.5402813
Douglasville GA,-84.7477136,33.7514966
Wake Forest NC,-78.5103731,35.9803138
Oak Cliff TX,-96.8111126,32.7392973
Chula Vista CA,-117.0841955,32.6400541
Fullerton CA,-117.9294165,33.8708215
Irmo SC,-81.18249,34.085736
Hardeeville SC,-81.0726108,32.2802665
Fort Walton Beach FL,-86.6026028,30.4085568
Lakewood WA,-122.518458,47.1717649
Great Falls MT,-111.2918908,47.5048851
Trenton NJ,-74.7429463,40.2170575
Sylacauga AL,-86.26673775,33.2146565
Tahlequah OK,-94.969956,35.91537
Syracuse NY,-76.1474244,43.0481221
Virginia Beach VA,-75.9774183,36.8529841
West Memphis AR,-90.1845388,35.1464797
Pompano Beach FL,-80.1247667,26.2378597
Princeton WV,-81.1025775,37.366328
St Louis MO,-90.1978889,38.6272733
Colton CA,-117.3136547,34.0739016
Rancho Cordova CA,-121.302728,38.5890723
Fayetteville NC,-78.878292,35.0525759
Rialto CA,-117.3703235,34.1064001
DeLand FL,-81.3031098,29.0283213
Florence CA,-118.2659106,33.9752173
Surprise AZ,-112.3680189,33.6292271
Hays KS,-99.3267702,38.8791783
Owensboro KY,-87.1133304,37.7742152
Emeryville CA,-122.2865266,37.8314089
Water Valley MS,-93.2848632,44.74705085
Spring TX,-99.5940139,29.8308639
Spanish Fork UT,-111.654923,40.114955
Alamo TN,-89.1172883,35.7847949
Burbank CA,-118.3258554,34.1816482
Elkhart IN,-85.9766671,41.6819935
Benton AR,-93.9990391,45.7197768
Lake Jackson TX,-95.4343859,29.0338575
York PA,-76.727392,39.962398
Harvey LA,-78.2777882,39.7031463
Alexandria LA,-95.377883,45.8846686
Franklin NC,-78.2787229,36.1028596
Denton TX,-97.1413417,33.1838787
Cheyenne WY,-118.8433527,34.1712252
Morristown TN,-83.2948923,36.2139814
Iuka MS,-88.1900415,34.8117565
South El Monte CA,-118.0467339,34.0519548
Greensboro NC,-79.7919754,36.0726355
Hutchinson KS,-97.9297743,38.0608444
Stone Mountain GA,-84.1457505,33.8062166
Cumming GA,-84.1401926,34.2073196
Greenville NC,-77.3663538,35.612661
Raleigh NC,-78.6390989,35.7803977
Appleton WI,-88.4067604,44.2611337
Johnson City TN,-82.3534728,36.3134398
Baytown TX,-94.9774274,29.7355047
Lealman FL,-82.6792661,27.8211366
Sandpoint ID,-116.5532476,48.2765903
Troy NY,-74.0055355,40.7402557
Wyoming MI,-85.7057035,42.9132581
Lake Stevens WA,-122.0660914,48.0197794
Stillwater OK,-97.0585717,36.1156306
Flatwoods KY,-82.7171081,38.5225805
Sun City AZ,-112.2819337,33.6290111
Holland Township MI,-75.12384149,40.59804705
Spartanburg SC,-81.9320157,34.9498007
Wasilla AK,-149.4380985,61.5828234
Aiken SC,-67.523013,-46.4467494
Dearborn MI,-83.1763145,42.3222599
Redlands CA,-117.1888961,34.055735
Peoria IL,-89.5891008,40.6938609
Lancaster CA,-118.1366153,34.6981064
East Baton Rouge LA,-91.0899217,30.5254797
Tallahassee FL,-84.2809332,30.4380832
Carmichael CA,-121.3222422,38.62709845
Ripon CA,-121.1243828,37.741595
Reading PA,-75.9279495,40.335345
Oceanside CA,-117.3794834,33.1958696
Cerritos CA,-118.0539323,33.8644291
Fort Lauderdale FL,-80.1433786,26.1223084
Burnsville MN,-93.2777226,44.7677424
Pike County OH,-83.0611404,39.1056387
Ceres CA,-120.9577098,37.5949316
Chino CA,-117.690075,34.0133561
Millville NJ,-75.0393368,39.4020593
Azle TX,-97.55196971,32.910378
Southaven MS,-90.0125913,34.9889818
Newton KS,-97.3447244,38.0469166
Auburn WA,-122.2301808,47.3075369
Des Moines WA,-93.6037149,41.5910641
Geneva WI,-88.4334301,42.5916836
Cottonwood AZ,-111.8240503,33.4979986
Kerrville TX,-99.1403189,30.0474332
Delano CA,-119.2470536,35.7688425
Biloxi MS,-88.8853645,30.3960318
Lemoore CA,-119.7827122,36.3006495
Moreno Valley CA,-117.2305944,33.937517
St. Joseph MO,-94.8466322,39.7686055
Cartersville GA,-84.7999383,34.1650972
Huntington Beach CA,-118.0000166,33.6783336
Madera CA,-120.0594685,36.9622745
Church Hill TN,-83.897681,35.873417
Zion IL,-87.8328505,42.4461322
Belleville IL,-89.9839935,38.5200504
Yonkers NY,-73.8987469,40.9312099
Hohenwald TN,-87.5519629,35.5478514
Vista CA,-117.2425355,33.2000368
Port St. Lucie FL,-80.3503283,27.2939333
Silver Spring MD,-77.0288918,38.9959081
North Bergen NJ,-74.012084,40.8042674
Gifford FL,-80.4092181,27.6753089
Leon County TX,-95.9953382,31.2715127
Valdez CO,-104.7019346,37.1222427
North Royalton OH,-81.7245739,41.3136644
North Port FL,-82.2359254,27.044224
Spring Hill TN,-86.9300023,35.751179
Sierra Vista AZ,-110.3036929,31.5545401
Frederica DE,-75.4657542,39.0090017
Niceville FL,-86.49145302,30.522651
Bainbridge Island WA,-122.5204513,47.6262626
Amite LA,-90.8217568,31.1729865
Winter Haven FL,-81.7328568,28.0222435
Griffin GA,-81.5703882,40.9799534
Circleville OH,-82.9460133,39.600618
Aragonite UT,-113.0015695,40.7425261
Yreka CA,-122.637766,41.732616
Upper Darby PA,-75.2737955,39.9284459
Oregon City OR,-122.6067583,45.3573429
Alamogordo NM,-105.9603398,32.8997997
Summerville SC,-80.1747537,33.0206179
Bon Aqua TN,-87.3269558,35.953397
Jonesborough TN,-82.4734089,36.2944928
Homer LA,-151.5401477,59.6440876
Inyokern CA,-117.8125674,35.6468991
Seaside OR,-123.920213,45.993246
Lancaster TX,-76.2411283,40.08067
Bloomsburg PA,-76.0132703,40.4295374
McMinnville TN,-85.7699816,35.683404
Princeton KY,-87.8819595,37.1092162
Livingston TN,-85.3230221,36.3833961
Claymont DE,-75.4596404,39.8006685
Wasco CA,-119.3409457,35.5941238
Watts OK,-94.5702202,36.1092487
South Elgin IL,-88.2922996,41.9941938
Monroe GA,-83.9044159,33.0142344
Staten Island NY,-74.1496048,40.5834557
Valley View CA,-76.7006099,39.9485649
Cle Elum WA,-120.9400632,47.1952417
Fairview OH,-81.2328872,40.0570139
Buffalo NY,-78.8783922,42.8867166
Spencer WV,-86.7625058,39.2867117
Medina OH,-81.8637474,41.1383878
Thonotosassa FL,-82.3023128,28.0614065
Hendersonville NC,-82.4609528,35.3187279
Peachtree City GA,-84.5957629,33.3967829
Arab AL,-86.4958219,34.3181497
La Porte TX,-95.0193729,29.6657838
Shelby NC,-81.5356463,35.2923513
Cisco TX,-98.9792336,32.3881861
Sandy UT,-111.8334496,40.572851
Montclair CA,-117.6897776,34.0775104
Bolton VT,-72.8806764,44.3728323
Union Township MI,-76.24233584,40.84446975
Provo UT,-111.6585337,40.2338438
Columbia MD,-76.8582049,39.2156213
League City TX,-95.0949303,29.5074538
Hendersonville TN,-86.6199957,36.3047735
Rowland NC,-79.2914306,34.5365518
Wales ME,-70.0406075,44.1575733
Westlake OH,-81.9179174,41.4553232
Wood County TX,-95.3812941,32.7577475
Pharr TX,-98.1836216,26.1947962
Sharpsburg KY,-83.9293681,38.2020214
Braxton County WV,-80.7012614,38.699643
Monticello GA,27.9591163,-26.0500157
Abingdon MD,-76.2791236,39.4623305
Cosby TN,-83.2087084,35.7581707
Strong AR,-92.334864,33.1076282
Federal Heights CO,-105.015631,39.8591279
Roslindale MA,-71.1244966,42.2912093
Whitewright TX,-96.3924833,33.5128856
Edinburg TX,-98.1624501,26.3013982
Bedford TX,-97.1430671,32.844017
Canandaigua NY,-77.278399,42.8844625
Camp Wood TX,-100.0122911,29.6693924
Yellville AR,-92.6848876,36.2261815
Orange County FL,-81.3111658,28.495156
Gardner KS,-94.9272958,38.8109254
Immokalee FL,-81.4172993,26.4186898
Lexington VA,-79.4428157,37.7840208
Santee CA,-116.9739167,32.8383828
Cottonwood CA,-121.9710801,38.6582375
Kingsland GA,-81.6898261,30.7999563
Lima OH,-84.1052256,40.742551
Tremont NY,-73.9056919,40.8495446
Meridian ID,-116.392326,43.6086295
Dover Township PA,-76.86795815,40.019127
Islip NY,-73.2108618,40.7304311
Hackett AR,-94.6985286,48.7732752
Everett MA,-71.0536625,42.40843
Chowchilla CA,-120.2864256,37.1122005
Grafton WV,-80.0189659,39.3409249
Grass Valley CA,-121.0531231,39.2086655
Cohasset MN,-93.620215,47.263556
Wapato WA,-120.4203382,46.4476278
Ruth MS,-90.316482,31.3815627
Edmund SC,-81.1997259,33.8614622
Mead Township PA,-78.94502428,41.86578495
Roy UT,-112.0261903,41.1617999
Charleston TN,-89.5089638,35.4959148
Brookville IN,-85.0127376,39.4231065
Surfside Beach SC,-78.9730887,33.6060031
Jesup GA,-81.8853924,31.6074365
Ragley LA,-93.2323813,30.512699
Lake Hallie WI,-91.4327558,44.8827276
Abbeville AL,-85.2504893,31.5718352
Jupiter FL,-80.12208912,26.9266939
Turlock CA,-120.8465941,37.4946568
Oshkosh WI,-88.5408574,44.0206919
Lovington NM,-103.3485543,32.9440077
Decatur GA,-84.296069,33.7737582
Colton OR,-122.4378631,45.1720669
Groveton TX,-95.1257691,31.0549071
Pell City AL,-86.2860888,33.5862149
Oak Park MI,-83.1827051,42.4594803
Mesquite TX,-96.599472,32.7666103
Lumpkin GA,-83.9926806,34.5546076
Polk County OR,-123.4599594,44.879673
East Flat Rock NC,-82.4220631,35.2801166
Buford GA,-84.0043513,34.1206564
Chatham County GA,-81.0626008,31.9668887
Howland Township OH,-80.805816,41.219677
Bloomington MN,-88.9941403,40.4731073
Lee's Summit MO,-94.3821295,38.9107156
Weeki Wachi FL,-82.5735662,28.5156479
Nitro WV,-81.8440197,38.4148146
Dumas TX,-101.9732353,35.8655949
Pinion Hills CA,-117.6467225,34.433331
Fort Ashby WV,-78.7680749,39.503279
Naples FL,-81.7948103,26.1420358
Parmelee SD,-101.0265364,43.3230585
Beaver Dam WI,-88.837329,43.4577692
Mt. Pleasant TN,-87.851473,42.7292465
Romance AR,-91.1588983,43.5384744
Forks Township PA,-76.4850174,39.835902
Sylvester GA,-83.8354542,31.5307349
South Lake Tahoe CA,-119.9843482,38.9332411
Douglas City CA,-122.9447474,40.6520897
Grants Pass OR,-123.3272489,42.4393707
Rush Springs OK,-97.9569845,34.7825721
Sanford NC,-79.1802994,35.4798757
Superior MT,-114.8917978,47.1915937
Barrow AK,-156.4821312,71.3864521
Saraland AL,-88.0705556,30.820742
St. Cloud MN,-94.1642004,45.5616075
Lufkin TX,-94.7288558,31.3386242
Oakdale CT,-97.7716924,30.303365
Rock Island IL,-90.5787477,41.5094771
Rosser TX,-96.4533193,32.4626397
Hesperia CA,-117.3008784,34.4263886
Centerville UT,-111.8721601,40.9180005
Molena GA,-84.5002013,33.0120724
Crescent City FL,-81.5106288,29.4302514
Tualatin OR,-122.7663518,45.3838546
Lyons IL,-87.8232695,41.811108
Maeystown IL,-90.233447,38.224775
Cloverdale CA,-122.9930082,38.776218
Draper UT,-111.8638226,40.5246711
North English IA,-92.0762891,41.5138978
Richmond KY,-84.2946539,37.7478572
Pine Top KY,-82.8823826,37.2726002
Urbandale IA,-93.7380624,41.6274552
Bell CA,-118.1870156,33.9775142
Mena AR,-69.0670213,45.4017493
Bay Minette AL,-87.7730474,30.8829628
Eldorado Springs CO,-105.2495595,39.939326
Opelika AL,-85.39249305,32.72667
Concord VA,-76.6185654,37.3634771
Jerseyville IL,-90.3284479,39.1200471
Pahrump NV,-115.9839128,36.2083012
Middletown DE,-75.7163207,39.449556
Goose Creek SC,-80.0387292,32.9961038
Calimesa CA,-117.0619774,34.0039044
Henderson NC,-78.3991638,36.3295905
Alhambra CA,-118.12706,34.093042
Lawrence IN,-86.0252612,39.8386516
Hessel MI,-84.425869,46.0041827
Clute TX,-95.3988291,29.0246906
Commerce City CO,-104.9220458,39.8389525
Cranbury Township NJ,-74.52712727,40.30733165
Paris TX,-95.555513,33.6617962
Schulter OK,-95.9566635,35.5145495
Monroe NC,-80.5495112,34.9854275
Elmira NY,-76.8077338,42.0897965
Olympic Valley CA,-120.2284917,39.1995817
Aldie VA,-77.6428403,38.9758064
Bull Shoals AR,-92.5815527,36.383956
Portage IN,-87.1761455,41.5758708
Somerville TN,-89.3500714,35.2436969
Milton FL,-87.0396881,30.6324149
Byng OK,-96.6655688,34.8611959
Deer Park AL,-88.317234,31.2168416
Coal County OK,-96.2944665,34.5661009
Farmington AR,-108.2133794,36.7418997
Fort Sumner NM,-104.2455092,34.4716695
Yulee FL,-81.59022781,30.627848
Hammett ID,-115.4661859,42.9457307
Braintree MA,-70.999492,42.2223218
Needles CA,-114.6790229,34.9098414
Grapeview WA,-122.8243819,47.3280934
Boonville IN,-123.3661111,39.0091667
North Branch MN,-92.9802176,45.5113515
Jackson GA,-83.5753386,34.1282559
Klamath Falls OR,-121.7816704,42.224867
Brookshire TX,-95.9510661,29.7860643
Buckhannon WV,-80.2322698,38.9939426
Antioch TN,-88.0956396,42.4772418
Gretna LA,-79.3602341,36.9528412
Tom OK,-94.5729863,33.7359468
San Ysidro CA,-117.0430813,32.5520013
Constantia NY,-76.000197,43.247847
Jourdanton TX,-98.5464069,28.9180294
Pico Rivera CA,-118.096735,33.9830688
Acworth GA,-84.6768796,34.0659329
Carrizozo NM,-105.8777246,33.6432488
Lorena TX,-97.2155596,31.3865592
Batesville AR,-91.651199,35.777687
Lexington NC,-80.2533838,35.8240265
Hurst IL,-89.1428573,37.8331059
Bartlesville OK,-95.9782966,36.7494864
Glade Spring VA,-81.7712324,36.791225
Midwest City OK,-97.3967025,35.4495097
Union Township PA,-76.24233584,40.84446975
Llano TX,-98.6750379,30.7593452
